=======================================================================================
                            TOP-5000 САМЫХ ЧАСТЫХ СЛОВ
                            Сортировка: По_частоте
=======================================================================================

Режим: Все файлы
Файл: Папка SourceTexts
Дата: Dec 10 2025 15:20:06

-----------------------------------------------------------------------------------------------------------------------
  №   Слово                 Частота     Документы
 85   этот                      129   voyna-i-mir-tom-1.txt
 86   себе                      128   voyna-i-mir-tom-1.txt
 87   вам                       127   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 88   ежели                     127   voyna-i-mir-tom-1.txt
 89   тем                       127   voyna-i-mir-tom-1.txt
 90   том                       127   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 91   et                        125   voyna-i-mir-tom-1.txt
 92   мы                        124   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 93   чем                       123   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 94   при                       122   voyna-i-mir-tom-1.txt
 95   василий                   121   voyna-i-mir-tom-1.txt
 96   мой                       120   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt, Пушкин_Пророк.txt
 97   под                       116   voyna-i-mir-tom-1.txt
 98   la                        115   voyna-i-mir-tom-1.txt
 99   je                        113   voyna-i-mir-tom-1.txt
100   где                       113   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
101   дело                      112   voyna-i-mir-tom-1.txt
102   которые                   111   voyna-i-mir-tom-1.txt
103   мог                       111   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
104   le                        110   voyna-i-mir-tom-1.txt
105   один                      110   voyna-i-mir-tom-1.txt
106   вдруг                     108   voyna-i-mir-tom-1.txt
107   более                     107   voyna-i-mir-tom-1.txt
108   во                        107   voyna-i-mir-tom-1.txt, Пушкин_Пророк.txt
109   после                     107   voyna-i-mir-tom-1.txt
110   руку                      107   voyna-i-mir-tom-1.txt
111   может                     106   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
112   хорошо                    106   voyna-i-mir-tom-1.txt
113   граф                      105   voyna-i-mir-tom-1.txt
114   свою                      105   voyna-i-mir-tom-1.txt
115   mon                       104   voyna-i-mir-tom-1.txt
116   со                        104   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
117   кутузов                   102   voyna-i-mir-tom-1.txt
118   человек                   102   voyna-i-mir-tom-1.txt
119   ним                       101   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
120   перед                     101   voyna-i-mir-tom-1.txt
121   раз                       101   voyna-i-mir-tom-1.txt
122   сам                       100   voyna-i-mir-tom-1.txt
123   княгиня                    99   voyna-i-mir-tom-1.txt
124   другой                     97   voyna-i-mir-tom-1.txt
125   несколько                  96   voyna-i-mir-tom-1.txt
126   чтото                      94   voyna-i-mir-tom-1.txt
127   ваше                       92   voyna-i-mir-tom-1.txt
128   ей                         91   voyna-i-mir-tom-1.txt
